participant.ID,gender,experiment,exp.level,age,treatment,score,pref,pref.spell,pos.baseline,neg.baseline,pos.post,neg.post,motivation
1,Cisgender woman,switching,NA,19,winner,17,1,NA,26,23,36,18,NA
2,Cisgender woman,switching,NA,18,loser,-26,3,NA,25,19,20,16,NA
3,Cisgender woman,switching,NA,18,winner,25,2,NA,17,13,23,15,NA
4,Cisgender woman,switching,NA,18,loser,-27,4,NA,35,13,31,16,NA
5,Cisgender woman,switching,NA,18,loser,-26,4,NA,22,12,29,15,NA
6,Cisgender woman,switching,NA,18,winner,23,1,NA,26,12,33,16,NA
7,Cisgender woman,switching,NA,20,winner,11,5,NA,24,10,26,11,NA
8,Cisgender woman,switching,NA,18,loser,-22,3,NA,35,20,40,29,NA
9,Cisgender woman,switching,NA,18,winner,19,4,NA,35,19,40,29,NA
10,Cisgender man,switching,NA,18,loser,-24,3,NA,28,16,36,16,NA
11,Cisgender woman,switching,NA,18,loser,-29,4,NA,27,18,27,18,NA
12,Cisgender woman,switching,NA,18,winner,24,4,NA,37,20,40,18,NA
13,Cisgender woman,switching,NA,18,winner,24,3,NA,46,10,50,10,NA
14,Cisgender woman,switching,NA,18,loser,-25,5,NA,35,12,30,17,NA
15,Cisgender woman,switching,NA,18,loser,-28,4,NA,31,13,21,13,NA
16,Cisgender woman,switching,NA,19,winner,11,2,NA,23,17,33,20,NA
17,Cisgender woman,switching,NA,18,loser,-27,4,NA,21,21,23,27,NA
18,Cisgender woman,switching,NA,18,winner,23,3,NA,16,10,21,11,NA
19,Cisgender man,switching,NA,18,loser,-27,5,NA,29,14,21,19,NA
20,Cisgender man,switching,NA,18,winner,28,5,NA,37,15,24,12,NA
21,Cisgender woman,switching,NA,18,loser,-26,4,NA,27,19,33,26,NA
22,Cisgender woman,switching,NA,18,winner,22,3,NA,39,12,42,13,NA
23,Cisgender woman,switching,NA,19,winner,25,2,NA,31,12,41,12,NA
24,Cisgender man,switching,NA,19,loser,-31,2,NA,31,12,34,12,NA
25,Cisgender man,switching,NA,18,winner,26,4,NA,30,13,35,12,NA
26,Cisgender woman,switching,NA,19,loser,-27,5,NA,37,11,41,15,NA
27,Cisgender man,switching,NA,18,winner,25,3,NA,35,20,40,21,NA
28,Cisgender woman,switching,NA,19,loser,-34,3,NA,19,12,16,11,NA
29,Cisgender woman,switching,NA,18,winner,23,3,NA,36,11,45,13,NA
30,Cisgender woman,switching,NA,18,loser,-30,5,NA,30,16,29,15,NA
