participant.ID,gender,experiment,treatment,exp.level,age,score,wait.pref,wait.spell,pos.baseline,neg.baseline,pos.post,neg.post,motivation
1,Cisgender woman,waiting,winner,inexperienced,18,18,0,start,19,18,31,14,4
2,Cisgender man,waiting,loser,experienced,18,-14,1,wait,39,16,33,16,4
3,Prefer not to say,waiting,loser,inexperienced,18,-31,1,wait,27,22,26,35,3
4,Cisgender woman,waiting,winner,inexperienced,16,11,0,start,38,18,43,18,5
5,Cisgender man,waiting,winner,inexperienced,18,20,1,wait,26,13,36,12,5
6,Cisgender woman,waiting,loser,inexperienced,17,-21,1,wait,29,24,29,29,3
7,Cisgender man,waiting,loser,experienced,17,-25,1,wait,30,15,26,24,4
8,Cisgender woman,waiting,winner,experienced,18,7,0,start,19,17,42,31,5
9,Cisgender woman,waiting,loser,inexperienced,18,-24,1,wait,21,15,23,12,3
10,Cisgender woman,waiting,winner,experienced,18,15,0,start,34,21,39,15,4
11,Cisgender woman,waiting,winner,inexperienced,17,19,0,start,19,13,17,10,4
12,Cisgender woman,waiting,loser,experienced,17,-27,0,start,25,13,28,12,2
13,Cisgender man,waiting,winner,experienced,17,27,0,start,30,10,21,12,3
14,Cisgender woman,waiting,loser,experienced,17,-24,1,wait,32,12,37,10,4
15,Cisgender woman,waiting,loser,inexperienced,18,-24,1,wait,25,13,16,15,2
16,Cisgender woman,waiting,winner,experienced,18,19,0,start,29,14,35,11,4
17,Cisgender woman,waiting,loser,inexperienced,18,-25,0,start,31,31,31,27,3
18,Cisgender woman,waiting,winner,inexperienced,18,17,0,start,27,26,32,17,4
19,Cisgender woman,waiting,loser,inexperienced,18,-28,1,wait,40,21,30,32,1
20,Cisgender woman,waiting,winner,inexperienced,19,12,0,start,27,19,43,22,4
21,Cisgender woman,waiting,loser,inexperienced,18,-25,1,wait,24,13,30,21,4
22,Cisgender woman,waiting,winner,experienced,18,24,1,wait,20,22,23,20,3
23,Cisgender woman,waiting,loser,inexperienced,20,-14,1,wait,14,15,15,10,3
24,Cisgender woman,waiting,winner,experienced,17,25,0,start,16,12,20,12,3
25,Cisgender woman,waiting,loser,experienced,17,-27,0,start,32,13,37,13,4
26,Cisgender man,waiting,winner,experienced,18,25,0,start,25,10,18,10,2
27,Cisgender man,waiting,loser,experienced,17,-14,1,wait,28,14,27,22,4
28,Cisgender man,waiting,winner,experienced,19,25,1,wait,28,16,39,15,5
29,Cisgender woman,waiting,winner,inexperienced,19,11,0,start,18,12,28,13,4
30,Nonbinary,waiting,loser,experienced,17,-23,1,wait,21,13,29,14,4
31,Cisgender woman,waiting,loser,inexperienced,17,-29,1,wait,31,14,33,23,3
32,Cisgender woman,waiting,winner,inexperienced,18,8,0,start,28,10,36,19,5
33,Cisgender woman,waiting,loser,inexperienced,18,-22,0,start,25,21,26,17,4
34,Cisgender woman,waiting,winner,inexperienced,17,21,1,wait,33,11,45,17,5
35,Cisgender man,waiting,winner,experienced,18,25,0,start,35,19,41,20,4
36,Cisgender woman,waiting,loser,inexperienced,17,-32,0,start,39,16,43,20,5
37,Cisgender man,waiting,winner,inexperienced,18,24,0,start,41,20,48,21,5
38,Cisgender woman,waiting,loser,inexperienced,18,-16,0,start,22,15,20,14,3
39,Cisgender woman,waiting,winner,inexperienced,19,13,0,start,19,14,24,29,4
40,Cisgender woman,waiting,loser,experienced,18,-23,0,start,24,19,19,18,1
41,Cisgender woman,waiting,winner,inexperienced,18,6,0,start,22,18,22,10,3
42,Cisgender woman,waiting,loser,experienced,17,-22,1,wait,24,14,32,13,4
43,Cisgender man,waiting,winner,experienced,18,22,0,start,37,10,43,10,5
44,Cisgender woman,waiting,loser,experienced,17,-20,0,start,27,11,27,13,4
45,Cisgender woman,waiting,winner,inexperienced,18,22,0,start,27,12,32,10,4
46,Cisgender man,waiting,loser,experienced,17,-13,1,wait,39,16,39,19,4
47,Cisgender woman,waiting,winner,inexperienced,18,21,0,start,32,19,31,14,3
48,Cisgender man,waiting,loser,inexperienced,18,-18,0,start,34,12,18,12,1
49,Cisgender woman,waiting,winner,experienced,18,17,0,start,29,15,31,16,3
50,Cisgender woman,waiting,loser,experienced,17,-5,1,wait,32,23,39,21,5
51,Cisgender woman,waiting,winner,experienced,17,22,0,start,34,12,45,14,4
52,Cisgender woman,waiting,loser,experienced,18,-20,0,start,22,13,22,16,3
53,Cisgender woman,waiting,winner,experienced,18,18,0,start,25,16,26,13,4
54,Cisgender woman,waiting,loser,experienced,18,-22,0,start,31,14,29,11,4
55,Cisgender woman,waiting,winner,inexperienced,19,16,0,start,35,24,38,18,5
56,Cisgender man,waiting,loser,experienced,18,-10,1,wait,16,22,16,16,2
57,Cisgender woman,waiting,winner,experienced,18,24,0,start,35,13,38,13,5
58,Cisgender woman,waiting,loser,experienced,17,-21,1,wait,29,14,26,18,4
59,Cisgender woman,waiting,loser,experienced,18,-25,1,wait,42,17,36,22,5
60,Cisgender woman,waiting,winner,inexperienced,18,11,0,start,11,11,16,10,4
61,Cisgender woman,waiting,loser,inexperienced,18,-22,1,wait,19,14,20,16,3
62,Cisgender woman,waiting,winner,inexperienced,18,1,0,start,18,18,30,15,4
63,Cisgender man,waiting,loser,experienced,18,-21,1,wait,28,11,21,16,3
64,Cisgender woman,waiting,winner,inexperienced,18,22,0,start,26,19,39,21,4
65,Cisgender man,waiting,loser,inexperienced,17,-25,0,start,32,13,32,18,3
66,Cisgender woman,waiting,winner,experienced,17,22,0,start,30,22,38,16,4
67,Cisgender man,waiting,loser,inexperienced,18,-18,1,wait,26,11,34,10,5
68,Cisgender woman,waiting,winner,inexperienced,20,5,0,start,31,16,31,17,4
69,Cisgender woman,waiting,loser,inexperienced,18,-22,1,wait,25,20,24,15,3
70,Cisgender man,waiting,winner,experienced,17,23,0,start,33,10,47,15,4
71,Gender fluid,waiting,winner,experienced,18,6,0,start,20,13,25,10,3
